編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXOMLPJNHLFFDA68CC,,38.66,工業用,鋼筋混凝土造,,四層,
RPOPMLPJNHLFFDA87CC,33,71.60,住家用,鋼筋混凝土造,72年5月27日,七層,
RPOPMLPJNHLFFDA87CC,33,12.47,共有部分,鋼筋混凝土造,72年5月27日,七層,
RPPNMLPJNHLFFCA67CC,28,106.98,住家用,鋼筋混凝土造,77年6月29日,五層,
RPPNMLPJNHLFFCA67CC,28,14.61,共有部分,鋼筋混凝土造,77年6月29日,五層,
RPQNMLPJNHLFFCA77CC,,86.98,,加強磚造,,四層,
RPVPMLPJNHLFFCA48CC,,12.33,住家用,鋼筋混凝土造,,四層,
RPXPMLPJNHLFFCA68CC,22,77.44,住家用,鋼筋混凝土造,82年12月27日,五層,
RPXPMLPJNHLFFCA68CC,22,34.25,共有部分,鋼筋混凝土造,82年12月27日,五層,
RPOQMLPJNHLFFCA87CC,2,139.50,住家用,見其他登記事項,102年11月1日,二十四層,
RPOQMLPJNHLFFCA87CC,2,64.56,見其他登記事項,見其他登記事項,102年11月1日,二十四層,
RPRQMLPJNHLFFCA18CC,4,37.81,見其他登記事項,鋼筋混凝土造,101年4月9日,十五層,
RPRQMLPJNHLFFCA18CC,4,8.18,見其他登記事項,鋼筋混凝土造,101年4月9日,十五層,
RPRQMLPJNHLFFCA18CC,4,6.50,見其他登記事項,鋼筋混凝土造,101年4月9日,十五層,
RPSQMLPJNHLFFCA28CC,5,55.70,住家用,鋼筋混凝土造,100年7月26日,十三層,
RPSQMLPJNHLFFCA28CC,5,13.05,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPSQMLPJNHLFFCA28CC,5,20.98,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPWQMLPJNHLFFCA68CC,1,40.17,住家用,鋼筋混凝土造,104年10月30日,九層,
RPWQMLPJNHLFFCA68CC,1,28.13,見其他登記事項,鋼筋混凝土造,104年10月30日,九層,
RPRRMLPJNHLFFCA28CC,9,46.99,住家用,鋼骨鋼筋混凝土造,95年11月29日,十四層,
RPRRMLPJNHLFFCA28CC,9,15.23,共有部分,鋼骨鋼筋混凝土造,95年11月29日,十四層,
RPRRMLPJNHLFFCA28CC,9,.55,共有部分,鋼骨鋼筋混凝土造,95年11月29日,十四層,
RPSRMLPJNHLFFCA38CC,10,43.56,商業用,鋼筋混凝土造,95年10月12日,十二層,
RPSRMLPJNHLFFCA38CC,10,9.33,共有部分,鋼筋混凝土造,95年10月12日,十二層,
RPSRMLPJNHLFFCA38CC,10,12.37,共有部分,鋼筋混凝土造,95年10月12日,十二層,
RPQNMLQJNHLFFCA87CC,10,99.14,商業用,鋼筋混凝土造,94年12月1日,七層,
RPQNMLQJNHLFFCA87CC,10,20.03,共有部分,鋼筋混凝土造,94年12月1日,七層,
RPRNMLQJNHLFFCA97CC,8,64.22,商業用,鋼筋混凝土造,97年4月29日,十三層,
RPRNMLQJNHLFFCA97CC,8,27.79,共有部分,鋼筋混凝土造,97年4月29日,十三層,
RPRNMLQJNHLFFCA97CC,8,9.15,共有部分,鋼筋混凝土造,97年4月29日,十三層,
RPRNMLQJNHLFFCA97CC,8,21.74,共有部分,鋼筋混凝土造,97年4月29日,十三層,
RPWNMLQJNHLFFCA48CC,40,126.79,住家用,鋼筋混凝土造,65年6月12日,四層,
RPPOMLQJNHLFFCA87CC,10,63.45,住家用,鋼筋混凝土造,94年12月8日,十二層,
RPPOMLQJNHLFFCA87CC,10,22.58,共有部分,鋼筋混凝土造,94年12月8日,十二層,
RPPOMLQJNHLFFCA87CC,10,5.48,共有部分,鋼筋混凝土造,94年12月8日,十二層,
RPROMLQJNHLFFCA08CC,33,41.23,住家用,鋼筋混凝土造,71年12月9日,十二層,
RPROMLQJNHLFFCA08CC,33,15.57,共有部分,鋼筋混凝土造,71年12月9日,十二層,
RPTOMLQJNHLFFCA28CC,11,44.42,商業用,鋼筋混凝土造,94年8月3日,十二層,
RPTOMLQJNHLFFCA28CC,11,24.04,共有部分,鋼筋混凝土造,94年8月3日,十二層,
RPUOMLQJNHLFFCA38CC,6,48.64,住家用,見其他登記事項,99年4月9日,十五層,
RPUOMLQJNHLFFCA38CC,6,26.85,見其他登記事項,見其他登記事項,99年4月9日,十五層,
RPUNMLQJNHLFFDA38CC,,77.40,,鋼筋混凝土造,,四層,
RPWNMLQJNHLFFDA58CC,42,83.60,住家用,鋼筋混凝土造,63年7月26日,四層,
RPOOMLQJNHLFFDA87CC,6,45.02,住家用,鋼筋混凝土造,99年9月1日,十五層,
RPOOMLQJNHLFFDA87CC,6,18.61,見其他登記事項,鋼筋混凝土造,99年9月1日,十五層,
RPOOMLQJNHLFFDA87CC,6,6.74,見其他登記事項,鋼筋混凝土造,99年9月1日,十五層,
RPOOMLQJNHLFFDA87CC,6,4.08,見其他登記事項,鋼筋混凝土造,99年9月1日,十五層,
RPROMLQJNHLFFDA18CC,26,129.51,住家用,鋼筋混凝土造,79年5月15日,十四層,
RPROMLQJNHLFFDA18CC,26,26.80,共有部分,鋼筋混凝土造,79年5月15日,十四層,
RPUOMLQJNHLFFDA48CC,20,93.23,見使用執照,鋼筋混凝土造,85年8月20日,十七層,
RPUOMLQJNHLFFDA48CC,20,27.66,共有部分,鋼筋混凝土造,85年8月20日,十七層,
RPVOMLQJNHLFFDA58CC,9,82.43,見其他登記事項,鋼筋混凝土造,96年8月16日,十三層,
RPVOMLQJNHLFFDA58CC,9,29.98,共有部分,鋼筋混凝土造,96年8月16日,十三層,
RPTNMLQJNHLFFBA08CC,36,201.69,住家用,鋼筋混凝土造,69年2月4日,十層,
RPTNMLQJNHLFFBA08CC,36,40.22,共有部分,鋼筋混凝土造,69年2月4日,十層,
RPVNMLQJNHLFFBA28CC,3,99.18,見其他登記事項,鋼筋混凝土造,101年12月14日,十九層,
RPVNMLQJNHLFFBA28CC,3,53.00,見其他登記事項,鋼筋混凝土造,101年12月14日,十九層,
RPVNMLQJNHLFFBA28CC,3,24.53,見其他登記事項,鋼筋混凝土造,101年12月14日,十九層,
RPWNMLQJNHLFFBA38CC,39,74.01,住家用,鋼筋混凝土造,66年4月2日,四層,
RPXNMLQJNHLFFBA48CC,7,59.97,住家用,見其他登記事項,98年7月24日,十八層,
RPXNMLQJNHLFFBA48CC,7,17.90,共有部分,見其他登記事項,98年7月24日,十八層,
RPXNMLQJNHLFFBA48CC,7,.13,共有部分,見其他登記事項,98年7月24日,十八層,
RPOOMLQJNHLFFBA67CC,,25.02,,鋼筋混凝土造,,十二層,
RPOOMLQJNHLFFBA67CC,,5.78,共有部分,鋼筋混凝土造,,十二層,
RPOOMLQJNHLFFBA67CC,,.68,共有部分,鋼筋混凝土造,,十二層,
RPPOMLQJNHLFFBA77CC,7,57.38,住家用,見其他登記事項,98年7月24日,十八層,
RPPOMLQJNHLFFBA77CC,7,17.19,共有部分,見其他登記事項,98年7月24日,十八層,
RPPOMLQJNHLFFBA77CC,7,.12,共有部分,見其他登記事項,98年7月24日,十八層,
RPPOMLQJNHLFFBA77CC,7,8.57,共有部分,見其他登記事項,98年7月24日,十八層,
RPROMLQJNHLFFBA97CC,,33.06,見其他登記事項,鋼筋混凝土造,,五層,
RPTNMLQJNHLFFEA38CC,12,109.90,住家用,鋼骨鋼筋混凝土造,93年5月18日,十四層,
